#,DATE,CURRENCY,STATUS,AMOUNT,FEES,DESCRIPTION,TRANSACTION ID,NOTE
16111620,13-05-2021 19:21:58,BTC,COMPLETED,-0.0298,-0.0004,35ov26fVexxm5M62Q6srCZoN5d5wrZBoXs,af639b9a404889f8bffa21e6368b8dccfbd99f49436bef60f4b06c7ba87f6f5f,
15955670,26-04-2021 13:07:24,BTC,COMPLETED,0.1,0,3MiPecguJiACmwT6j7qye5WAY2TCECHqgy,fbf4761de38401f355d084b59186249c6bb805bb8024995395b60760dfe09ab6,
15486610,27-02-2021 08:57:33,BTC,COMPLETED,0.05,0,3MiPecguJiACmwT6j7qye5WAY2TCECHqgy,919f68bc7d398624e6c4e4695ed2bde627104f4c668588348c7fede8566dcc43,
15267194,04-02-2021 14:24:01,BTC,COMPLETED,0.05,0,3MiPecguJiACmwT6j7qye5WAY2TCECHqgy,3fcde5f3b43bffe4553fbd3e640c73a2b565dadad0081511d35cb1490aa8d402,
15071420,10-01-2021 09:42:36,BTC,COMPLETED,0.04,0,3477XcgveYU7weHVyUTYtrY3CujH3osrNn,f2ba547e500a0c18590414f586f12bc4e8fbc792f11c8d68eca0fc00a854f4c6,
14110246,18-06-2020 14:51:39,BTC,COMPLETED,-0.22250362,-0.0004,34du4H1nySmxjyzL28qzU4gzu1r6pSCpE3,3e3f2e378793be2d665b7d91374cb33e635895c918567c8d7de9e31bc4fa5aaa,
13835538,04-04-2020 22:59:11,BTC,COMPLETED,0.15,0,18FUwr13bAnJn5bGvsXwePUWtsyuRLXzBZ,6007a123fa00c87540fc36a630b5c319beffa25b4280512720569ae48c0c24ce,
12671838,22-06-2019 11:36:37,BSV,COMPLETED,0.399,-0.001,bitcoincash:qrfl2f2umys24nxgv98v0qpruswpl3l0nv3v3kegk7,21820a02dc8f9bb6f85d564d23b23ead42cc9f7e5bef2ce06f55b81fe7c9b6f9,
12581130,05-06-2019 07:26:13,BTC,COMPLETED,0.05,-0.0004,3477XcgveYU7weHVyUTYtrY3CujH3osrNn,000f16cb3c18f696047c4e343746524cd1d09373ff500a19b7f71471e8fc92d8,
6608683,10-12-2017 13:31:56,BTC,COMPLETED,0.06,0,18FUwr13bAnJn5bGvsXwePUWtsyuRLXzBZ,169c22e53bd5fb0883f9e1e183cd260ccd7195806fc054c2001bb3afef264477,
5423860,20-11-2017 22:00:53,BTC,COMPLETED,0.01222,0,16GHhGjmZGKnnSXfZqbxSBRWvFyK8bRVEF,a08f3dc672050f3b4c82188f774c21643b52b54607374bad61551bcfce495ae4,
5251604,16-11-2017 13:11:18,BTC,COMPLETED,0.02334,0,16GHhGjmZGKnnSXfZqbxSBRWvFyK8bRVEF,e21030d9add0b62f3e7d0be18c2b1f921075e0bacaa42069e9b49988f139e061,
5225755,15-11-2017 19:55:10,BTC,COMPLETED,0.0069,0,1KtNvQ7dDZCdJNqSxmVnNHmud465JL3du3,6140eefde9a3162122e06f5af070f7b5685ba1cfa569376c45dc0498d0ef9ec4,
